organism_name	taxid	bioproject_accession	bioproject_id	group	subgroup	size_mb	gc	assembly_accession	replicons	wgs	scaffolds	genes	proteins	release_date	modify_date	status	center	biosample_accession
Pyropia yezoensis	2788	PRJNA589917	589917	Other	Other	107.591	64.8454	GCA_009829735.1	chromosome 1:CM020618.1; chromosome 2:CM020619.1; chromosome 3:CM020620.1	WMLA01	28	NA	NA	2020-01-03	2020-01-06	Chromosome	Ocean University	SAMN13316713
Emiliania huxleyi CCMP1516	280463	PRJNA77753	77753	Protists	Other Protists	167.676	64.5	GCA_000372725.1	NA	AHAL01	7795	38549	38554	2013-04-19	2014-08-01	Scaffold	JGI	SAMN02744062
Arabidopsis thaliana	3702	PRJNA10719	10719	Plants	Land Plants	119.669	36.0529	GCA_000001735.2	chromosome 1:NC_003070.9/CP002684.1; chromosome 2:NC_003071.7/CP002685.1; chromosome 3:NC_003074.8/CP002686.1; chromosome 4:NC_003075.7/CP002687.1; chromosome 5:NC_003076.8/CP002688.1; mitochondrion MT:NC_037304.1/BK010421.1; chloroplast Pltd:NC_000932.1/AP000423.1	NA	7	38311	48265	2001-08-13	2019-02-14	Chromosome	The Arabidopsis Information Resource (TAIR)	SAMN03081427
Glycine max	3847	PRJNA19861	19861	Plants	Land Plants	979.046	35.1153	GCA_000004515.4	chromosome 1:NC_016088.3/CM000834.3; chromosome 2:NC_016089.3/CM000835.3; chromosome 3:NC_016090.3/CM000836.3; chromosome 4:NC_016091.3/CM000837.3; chromosome 5:NC_038241.1/CM000838.2; chromosome 6:NC_038242.1/CM000839.3; chromosome 7:NC_038243.1/CM000840.3; chromosome 8:NC_038244.1/CM000841.3; chromosome 9:NC_038245.1/CM000842.3; chromosome 10:NC_038246.1/CM000843.3; chromosome 11:NC_038247.1/CM000844.3; chromosome 12:NC_038248.1/CM000845.2; chromosome 13:NC_038249.1/CM000846.2; chromosome 14:NC_038250.1/CM000847.2; chromosome 15:NC_038251.1/CM000848.2; chromosome 16:NC_038252.1/CM000849.2; chromosome 17:NC_038253.1/CM000850.3; chromosome 18:NC_038254.1/CM000851.3; chromosome 19:NC_038255.1/CM000852.3; chromosome 20:NC_038256.1/CM000853.3; chloroplast Pltd:NC_007942.1/; mitochondrion MT:NC_020455.1/	ACUP03	1579	59906	71219	2010-01-05	2018-08-31	Chromosome	US DOE Joint Genome Institute (JGI-PGF)	SAMN00002965
Medicago truncatula	3880	PRJNA10791	10791	Plants	Land Plants	412.924	34.047	GCA_000219495.2	chromosome 1:NC_016407.2/CM001217.2; chromosome 2:NC_016408.2/CM001218.2; chromosome 3:NC_016409.2/CM001219.2; chromosome 4:NC_016410.2/CM001220.2; chromosome 5:NC_016411.2/CM001221.2; chromosome 6:NC_016412.2/CM001222.2; chromosome 7:NC_016413.2/CM001223.2; chromosome 8:NC_016414.2/CM001224.2; chloroplast Pltd:NC_003119.6/	APNO01	2187	37734	41939	2011-08-12	2014-06-18	Chromosome	International Medicago Genome Annotation Group	SAMN02299339
Solanum lycopersicum	4081	PRJNA119	119	Plants	Land Plants	828.349	35.6991	GCA_000188115.3	chromosome 1:NC_015438.3/CM001064.3; chromosome 2:NC_015439.3/CM001065.3; chromosome 3:NC_015440.3/CM001066.3; chromosome 4:NC_015441.3/CM001067.3; chromosome 5:NC_015442.3/CM001068.3; chromosome 6:NC_015443.3/CM001069.3; chromosome 7:NC_015444.3/CM001070.3; chromosome 8:NC_015445.3/CM001071.3; chromosome 9:NC_015446.3/CM001072.3; chromosome 10:NC_015447.3/CM001073.3; chromosome 11:NC_015448.3/CM001074.3; chromosome 12:NC_015449.3/CM001075.3; mitochondrion MT:NC_035963.1/; chloroplast Pltd:NC_007898.3/	AEKE03	3150	31200	37660	2010-12-10	2018-04-18	Chromosome	Solanaceae Genomics Project	SAMN02981290
Hordeum vulgare subsp. vulgare	112509	PRJEB34217	576847	Plants	Land Plants	4340.66	44.5703	GCA_902498975.1	chromosome 1H:LR721633.1; chromosome 2H:LR721634.1; chromosome 3H:LR721635.1; chromosome 4H:LR721636.1; chromosome 5H:LR721637.1; chromosome 6H:LR721638.1; chromosome 7H:LR721639.1	CABVLW01	19571	NA	NA	2019-10-10	2019-10-10	Chromosome	IPK-Gatersleben	SAMEA5928514
Oryza sativa Japonica Group	39947	PRJNA12269	12269	Plants	Land Plants	374.423	43.5769	GCA_001433935.1	chromosome 1:NC_029256.1/AP014957.1; chromosome 2:NC_029257.1/AP014958.1; chromosome 3:NC_029258.1/AP014959.1; chromosome 4:NC_029259.1/AP014960.1; chromosome 5:NC_029260.1/AP014961.1; chromosome 6:NC_029261.1/AP014962.1; chromosome 7:NC_029262.1/AP014963.1; chromosome 8:NC_029263.1/AP014964.1; chromosome 9:NC_029264.1/AP014965.1; chromosome 10:NC_029265.1/AP014966.1; chromosome 11:NC_029266.1/AP014967.1; chromosome 12:NC_029267.1/AP014968.1; plastid Pltd:NC_001320.1/; mitochondrion MT:NC_011033.1/	NA	58	35223	42578	2015-10-10	2018-08-07	Chromosome	National Institute of Agrobiological Sciences, Japan	SAMD00000397
Triticum aestivum	4565	PRJNA392179	392179	Plants	Land Plants	15418.8	46.113	GCA_002220415.3	chromosome 1A:CM022211.1; chromosome 1B:CM022212.1; chromosome 1D:CM022213.1; chromosome 2A:CM022214.1; chromosome 2B:CM022215.1; chromosome 2D:CM022216.1; chromosome 3A:CM022217.1; chromosome 3B:CM022218.1; chromosome 3D:CM022219.1; chromosome 4A:CM022220.1; chromosome 4B:CM022221.1; chromosome 4D:CM022222.1; chromosome 5A:CM022223.1; chromosome 5B:CM022224.1; chromosome 5D:CM022225.1; chromosome 6A:CM022226.1; chromosome 6B:CM022227.1; chromosome 6D:CM022228.1; chromosome 7A:CM022229.1; chromosome 7B:CM022230.1; chromosome 7D:CM022231.1; chloroplast Pltd:CM022232.1	NMPL03	70316	NA	NA	2017-07-13	2020-03-24	Chromosome	Johns Hopkins University	SAMN07284949
Zea mays	4577	PRJNA10769	10769	Plants	Land Plants	2135.08	46.9109	GCA_000005005.6	chromosome 1:NC_024459.2/CM007647.1; chromosome 2:NC_024460.2/CM007648.1; chromosome 3:NC_024461.2/CM007649.1; chromosome 4:NC_024462.2/CM000780.4; chromosome 5:NC_024463.2/CM000781.4; chromosome 6:NC_024464.2/CM000782.4; chromosome 7:NC_024465.2/CM007650.1; chromosome 8:NC_024466.2/CM000784.4; chromosome 9:NC_024467.2/CM000785.4; chromosome 10:NC_024468.2/CM000786.4; mitochondrion MT:NC_007982.1/; chloroplast Pltd:NC_001666.2/	LPUQ01	598	49339	58411	2010-01-29	2017-06-16	Chromosome	maizesequence	SAMN04296295
Pneumocystis carinii B80	1408658	PRJNA223511	223511	Fungi	Ascomycetes	7.66146	27.8	GCA_001477545.1	NA	LFVZ01	62	3695	3646	2015-12-22	2015-12-22	Contig	Broad Institute	SAMN02380717
Schizosaccharomyces pombe	4896	PRJNA13836	13836	Fungi	Ascomycetes	12.5913	36.0381	GCA_000002945.2	chromosome I:NC_003424.3/CU329670.1; chromosome II:NC_003423.3/CU329671.1; chromosome III:NC_003421.2/CU329672.1; mitochondrion MT:NC_001326.1/X54421.1	NA	4	6974	5132	2002-02-28	2018-04-05	Chromosome	S. pombe European Sequencing Consortium (EUPOM)	SAMEA3138176
Saccharomyces cerevisiae S288C	559292	PRJNA43747	43747	Fungi	Ascomycetes	12.1571	38.1556	GCA_000146045.2	chromosome I:NC_001133.9/BK006935.2; chromosome II:NC_001134.8/BK006936.2; chromosome III:NC_001135.5/BK006937.2; chromosome IV:NC_001136.10/BK006938.2; chromosome V:NC_001137.3/BK006939.2; chromosome VI:NC_001138.5/BK006940.2; chromosome VII:NC_001139.9/BK006941.2; chromosome VIII:NC_001140.6/BK006934.2; chromosome IX:NC_001141.2/BK006942.2; chromosome X:NC_001142.9/BK006943.2; chromosome XI:NC_001143.9/BK006944.2; chromosome XII:NC_001144.5/BK006945.2; chromosome XIII:NC_001145.3/BK006946.2; chromosome XIV:NC_001146.8/BK006947.3; chromosome XV:NC_001147.6/BK006948.2; chromosome XVI:NC_001148.4/BK006949.2; mitochondrion MT:NC_001224.1/	NA	17	6445	6002	1999-11-08	2019-11-01	Complete Genome	Saccharomyces Genome Database	NA
Aspergillus nidulans FGSC A4	227321	PRJNA130	130	Fungi	Ascomycetes	30.276	50.2721	GCA_000149205.2	mitochondrion MT:NC_017896.1/JQ435097.1	AACD01	91	9586	9556	2003-04-07	2014-08-06	Scaffold	Broad Institute	SAMN02953587
Aspergillus fumigatus Af293	330879	PRJNA131	131	Fungi	Ascomycetes	29.385	49.8105	GCA_000002655.1	chromosome 1:NC_007194.1/CM000169.1; chromosome 2:NC_007195.1/CM000170.1; chromosome 3:NC_007196.1/CM000171.1; chromosome 4:NC_007197.1/CM000172.1; chromosome 5:NC_007198.1/CM000173.1; chromosome 6:NC_007199.1/CM000174.1; chromosome 7:NC_007200.1/CM000175.1; chromosome 8:NC_007201.1/CM000176.1	AAHF01	8	19832	19260	2005-06-01	2014-08-04	Chromosome	J. Craig Venter Institute	SAMN00115746
Neurospora crassa OR74A	367110	PRJNA13841	13841	Fungi	Ascomycetes	41.1024	48.2319	GCA_000182925.2	linkage group I:NC_026501.1/CM002236.1; linkage group II:NC_026502.1/CM002237.1; linkage group III:NC_026503.1/CM002238.1; linkage group IV:NC_026504.1/CM002239.1; linkage group V:NC_026505.1/CM002240.1; linkage group VI:NC_026506.1/CM002241.1; linkage group VII:NC_026507.1/CM002242.1; mitochondrion MT:NC_026614.1/KC683708.1	AABX03	21	10455	10812	2003-03-12	2014-08-06	Chromosome	Broad Institute	SAMN02953583
Phanerochaete chrysosporium	5306	PRJNA343563	343563	Fungi	Basidiomycetes	39.2051	56.5	GCA_001910725.1	NA	MJGA01	174	NA	NA	2016-12-20	2016-12-20	Contig	National Institute of Forest Science	SAMN05790961
Candida albicans SC5314	237561	PRJNA10701	10701	Fungi	Ascomycetes	14.2827	33.4827	GCA_000182965.3	chromosome 1:NC_032089.1/CP017623.1; chromosome 2:NC_032090.1/CP017624.1; chromosome 3:NC_032091.1/CP017625.1; chromosome 4:NC_032092.1/CP017626.1; chromosome 5:NC_032093.1/CP017627.1; chromosome 6:NC_032094.1/CP017628.1; chromosome 7:NC_032095.1/CP017629.1; chromosome R:NC_032096.1/CP017630.1	NA	8	6263	6030	2016-10-12	2018-04-04	Chromosome	Stanford University	SAMN02953594
